occurred_at_iso,type,severity,title,description,lat,lng,source_name,source_url
2026-09-15T10:43:27.000Z,ship_incident,medium,Hormuz shipping traffic hits new low as Iran standoff deepens,,,,NewsNation,https://news.google.com/rss/articles/CBMiigFBVV95cUxNM0dvNElxS0dYVWlLeGVrMVFNWGRZdVY5THpfeXBoenRNQmF4ZjIwWENGampYOWI5dHBQbXU5N3puNDRvYVg2YkVya3pQaFBjTWpveEhCS1VOMm1YNHJqNl84OWRXaVBpSk9TNWx0Y3QyT2ZCZnlaa2d5TjltU01MMHNRSEVoZndDdGfSAY8BQVVfeXFMTkFvbms0clZsUm91WlVMY1hXbXI1MXNaOTFlMWVtQ2pJd3J0Mkp1Zko3UXhldEs3WmxEd3RmeEdXVU5wVjRIVTBTYVh2aUVMYnlCSkVCc0pEdThKRUF2SEl3RmI1RlYyTUZQZWpRVDlFRnVLbmdHWndsS1dwUEF4YjgxZExSNkZwbm40Tk0zSHM?oc=5
2026-09-15T10:50:42.000Z,strike,high,"Oman tows oil tanker attacked off its coast, two crew missing",,,,The Jerusalem Post,https://news.google.com/rss/articles/CBMiXEFVX3lxTE9TZVBlYlpWWWNxMzR1RDFDZWltaU90M1d5QUFVNTh2NlJvZGJHa09zLXFZbTU2UjhsUnpkdkdiOWs2NUdmTnUyR1Q2TEQxMFdjbVZsbG9JYUpnbDZC?oc=5
2026-09-15T10:51:06.000Z,strike,high,New Strait of Hormuz attack sees historic former Royal Mail ship hit by Iran,,,,TradeWinds News,https://news.google.com/rss/articles/CBMiygFBVV95cUxQVkxUYjFEa3hISFRHMmhhX0hGWDQwZGRDVTZHeGRQdDhwajhkN0dlcUtIbENaZHNjeFdFYVRoNXY0YXNUMUQ4UXlab2REZUlJbTVNeWo3WUl2SHE5UzA3VTdTTzJjY1hEUXVPb1VDNGJYS0hBR1oydkFfVEpJdllVU0NzdmZ6bmZwdS1rTjhUTks2TXB6TzNuNFluTUZGdW5SeHY4SVQtY3k3THVZQ1RFVEZNdDd0c25INDR2RFZOVWZaME1CQU1TXzB3?oc=5
2026-09-15T11:18:33.000Z,ship_incident,high,Marine watchdog reports vessel struck in Hormuz Strait,,,,Macau Business,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPTFZxX2FkTWFwMkZFU3lPcktGT3JQTEx0Tk5mOEZNVDdQNVRhR2NKUW5heGlNUWx0SHl6amlxTlBhamlpR0lVOXItSjg2aWZoQ1NqTzVRWWdrMUNlRXZ3WVpMbndnaVQ3elMzVzRLR2d5NXQtTTg1dFVva05KMUZOc0RtMUNFVUk3?oc=5
2026-09-15T11:31:41.000Z,ship_incident,high,Vessel Targeted by Unknown Projectile in Strait of Hormuz,,,,WANA News Agency,https://news.google.com/rss/articles/CBMigwFBVV95cUxOR3BCbjREWGNEc0ZQSXNWVERqZWphS3g5Nm11Z2diRWlpczNodTJYdkRjZ1c2dXRVNkFjM3lCeHQ2WXpISGprN1laWkgzNDF6MFNzY1FHeGthbzc0YnF3ZmhQYjV1QnVtVEdkeDBIUHNHdHhIV00zTk12S01iNEYtOEdRQQ?oc=5
2026-09-15T11:47:19.000Z,strike,medium,Oil tanker flying Panama flag attacked in Strait of Hormuz,,,,ua.news,https://news.google.com/rss/articles/CBMilAFBVV95cUxQdHNpY0hIZGlrQnRFbk9oWTBtS29fSW44TDFYQldoN2tiZTBZSEZIR2RqTzhUV0tmZXpiSXdCdG92aDFBRFZacmhmNmZzekNacUxDeldQUENjMXlWc0lhNExOREtwSHZHMVROSmU5ZUU3MDAwcmtrWk9xbWprQzdGQkVQaGZPV3hCSWZKTFdEcTRPVlZx?oc=5
2026-09-15T12:26:39.000Z,ship_incident,high,BREAKING: Another vessel struck in Strait of Hormuz,,,,foxnews.com,https://news.google.com/rss/articles/CBMiVkFVX3lxTFBwLTY4TVFua1VLWHk5RFR0b0lBTW5CT0c0SkptOHIwSGthMTVGZC1oNElsaVh2QnN2MjJqY3pVXzBWcTZzZkR4b3lPSHFxdUFmN3h2ekdB?oc=5
2026-09-15T12:33:00.000Z,strike,medium,Iran says 2 MQ-1 drones intercepted near Strait of Hormuz amid US tensions,,,,Middle East Monitor,https://news.google.com/rss/articles/CBMiugFBVV95cUxNUTl1eHYweVYzZ3JWSVBqSGp1WDRDeVhLZWdNaVA2eUs5VHlmb21XVDFJLURaREJtOGUta3BJdU1pc2NtWk5XZTRkZU5TX0g3ZVJrNzBBYTJadXZ3VHZrWnkxX2F1eDR3b0lRMGhzUUxwNy1Rb1pEQmxNbU5LVGZZMlMyZm5fSTk5cjYxWXBqWC1PM1NYcGRLOFBUeHdfZFQ0elEtM1RIUXRDSFBNVHktR3JyRTk2R0pPcmfSAb8BQVVfeXFMUE9HemhFLXNiSXRGQ2NLLWhtQ1dKUzFISEpGWVh4eHlnNHFPbWdmTGZrR3dlQ0FfekNLcWFRVE14SVVwT1dRNEFnUnU0NjRlNzVVWVlHVkxadmhEc1JNTUxsSWhDNFREdlFsZnpvaDhQU3BxT1p5Mk84cU84UHFOVUJpVk8xUzJoYXFHM0duYXk0UXNMZzNTZXZXMTAtT2F2QVprY1dIbnZaaWhMUDQzc2VieVNwWnhpTEpkcDJmSnc?oc=5
2026-09-15T12:59:56.000Z,strike,medium,Scoop: U.S. attacked Iranian boats trying to seize Navy drone,,,,Axios,https://news.google.com/rss/articles/CBMie0FVX3lxTE9vLVZubFlnN2hCMlQ0WkFLWHVCTXlwbVpIUjRNNEt3blp2WGFDT1d5THl1QU1yc1diS1RwT29WeEJjMlFlalBpZlRhQmw2VUJhYmhjREVkT0JNTmVmWk91U2FpQUVHSlJrb25fbllGWEdBSFVvVmhERkZjOA?oc=5
2026-09-15T13:05:36.000Z,strike,high,"Two sailors missing after tanker attacked in Strait of Hormuz, Oman says",,,,bbc.com,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBhVXY0Z01uOWU3bjVROUVDc3c3RmpWZ3VRZmVWRmRQR1JCY2NfN04xRDJIeUpkWVhKdlBaU2M2MWYza2VfVVpkZWtQNFdyVzRfRFdDcDdiTEpWalE?oc=5
2026-09-15T13:13:06.000Z,ship_incident,high,Ship struck by unknown projectile in Hormuz Strait: Maritime observer,,,,rudaw.net,https://news.google.com/rss/articles/CBMiZkFVX3lxTE5JX29qSlk2TDJEV0tCSVFSUXh5dGFuVkdBaXJUaVlLa2lMbm4welB6RlRYV21HOU0tZk8zTWtTZHo3VGhvcTZFWk45cTBVb1plQkdoTmhiX1IwZUttYl9PcjIwakMzZw?oc=5
2026-09-15T13:23:20.000Z,ship_incident,medium,New report of attack on Strait of Hormuz shipping fans fears of threats to oil supplies,,,,thedailystar.net,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPbTZJejJkRWVleU1sMUxEYXdhWDcyZ0hjS3dVT0xOV2JVTF83TDFGaGlnSTByMjVhUDNYSmVkWjdfa2s3UXVNNXBma3lfTnRnWTRXRE16NzVNUkZ3aHFtU0JMZkRJTXJDa0ktMHdRWVE1VHVlcjVfUW9PZURDWGY4akJjSFdEN0VFVUJzSlliME5rbGxjcFlmRk5QdXZnVURxOUxuaVpMei1NVHZpZDVVSWFVcldBWVZZb3N3TUJFZmM?oc=5
